row #,tables,category,FXY,code figure,note (github),note id,note (manual),note applies to,my comment
1000,Code Flag Tables for BUFRCREX Table B,01,001003,/,/,/,/,/,no notes
1001,Code Flag Tables for BUFRCREX Table B,01,001007,n/a,n/a,no id,(See common Code table C-5 Part C/c.),table,no codes
1002,Code Flag Tables for BUFRCREX Table B,01,001024,/,/,/,/,/,no notes
1003,Code Flag Tables for BUFRCREX Table B,01,001028,/,/,/,/,/,no notes
1004,Code Flag Tables for BUFRCREX Table B,01,001029,n/a,n/a,*,Surface solar irradiance,title,
1005,Code Flag Tables for BUFRCREX Table B,01,001031,n/a,n/a,no id,(See common Code table C-1 in Part C/c.),table,no codes
1006,Code Flag Tables for BUFRCREX Table B,01,001033,n/a,n/a,no id,(See common Code table C-1 in Part C/c.),table,no codes
1007,Code Flag Tables for BUFRCREX Table B,01,001034,n/a,n/a,no id,(To be defined by centres themselves -See common Code table C-12 in Part C/c.),table,
1008,Code Flag Tables for BUFRCREX Table B,01,001036,n/a,n/a,no id,(The first three digits represent the ISO country code),table,
1009,Code Flag Tables for BUFRCREX Table B,01,001038,/,/,/,/,/,no notes
1010,Code Flag Tables for BUFRCREX Table B,01,001044,/,/,/,/,/,no notes
1011,Code Flag Tables for BUFRCREX Table B,01,001052,/,/,/,/,/,no notes
1012,Code Flag Tables for BUFRCREX Table B,01,001090,/,/,/,/,/,no notes
1013,Code Flag Tables for BUFRCREX Table B,01,001092,/,/,/,/,/,no notes
1014,Code Flag Tables for BUFRCREX Table B,01,001101,n/a,n/a,1,"EPSG is a dataset of coordinate system and coordinate system transformations, originally produced and maintained by the European Petroleum Survey Group. It is now maintained by the Geodesy Subcommittee of the International Association of Oil and Gas Producers Geomatics Committee.",table,
1015,Code Flag Tables for BUFRCREX Table B,01,001150,n/a,n/a,2,"When Code figure 4 is used to specify a custom coordinate reference system, the ellipsoidal datum shall be an oblate ellipsoid of revolution, where the major axis is uniplanar with the equatorial plane and the minor axis traverses the prime meridian towards the prime pole. North corresponds to the directionfrom the Equator to the prime pole. East corresponds to the counterclockwise direction from the primemeridian as viewed from above the North Pole. In this case, the semi-major and semi-minor axes mustbe specified (e.g. by descriptors 0 01 152 and 0 01 153).",tbd ,
1016,Code Flag Tables for BUFRCREX Table B,01,001150,/,/,/,/,/,no notes
1017,Code Flag Tables for BUFRCREX Table B,01,001151,/,/,/,/,/,no notes
1018,Code Flag Tables for BUFRCREX Table B,02,002001,/,/,/,/,/,no notes
1019,Code Flag Tables for BUFRCREX Table B,03,002002,/,/,/,/,/,no notes
1020,Code Flag Tables for BUFRCREX Table B,04,002003,/,/,/,/,/,no notes
1021,Code Flag Tables for BUFRCREX Table B,05,002004,/,/,/,/,/,no notes
1022,Code Flag Tables for BUFRCREX Table B,06,002006,/,/,/,/,/,no notes
1023,Code Flag Tables for BUFRCREX Table B,07,002007,/,/,/,/,/,no notes
1024,Code Flag Tables for BUFRCREX Table B,08,002008,/,/,/,/,/,no notes
1025,Code Flag Tables for BUFRCREX Table B,09,002011,n/a,n/a,no id,(See common Code table C-2 in Part C/c.),table,no codes
1026,Code Flag Tables for BUFRCREX Table B,10,002012,n/a,n/a,no id,(To be developed),table,no codes
1027,Code Flag Tables for BUFRCREX Table B,11,002013,8,*,*,GRUAN = GCOS Reference Upper-Air Network,code,
1028,Code Flag Tables for BUFRCREX Table B,12,002014,n/a,n/a,no id,(See common Code table C-7 in Part C/c.),table,no codes
1029,Code Flag Tables for BUFRCREX Table B,13,002015,/,/,/,/,/,no notes
1030,Code Flag Tables for BUFRCREX Table B,14,002016,/,/,/,/,/,no notes
1031,Code Flag Tables for BUFRCREX Table B,15,002017,/,/,/,/,/,no notes
1032,Code Flag Tables for BUFRCREX Table B,16,002019,n/a,n/a,no id,(See common Code table C-8 in Part C/c.),table,no codes
1033,Code Flag Tables for BUFRCREX Table B,17,002020,/,/,/,/,/,no notes
1034,Code Flag Tables for BUFRCREX Table B,18,002021,/,/,/,/,/,no notes
1035,Code Flag Tables for BUFRCREX Table B,19,002022,n/a,n/a,1,"Clear path means the sounding has been generated from clear radiances derived from actual clear spot measurements. Tropospheric and stratospheric HIRS data, as well as MSU and SSU data, have been used.",tbd ,
1036,Code Flag Tables for BUFRCREX Table B,20,002022,n/a,n/a,2,"Partly cloudy path means the sounding has been generated from clear radiances which have been calculated from partly cloudy spots. Tropospheric and stratospheric HIRS data, as well as MSU and SSU data, have been used.",tbd ,
1037,Code Flag Tables for BUFRCREX Table B,21,002022,n/a,n/a,3,"Cloudy path means the sounding has been generated only from stratospheric HIRS data, MSU data andSSU data. Tropospheric HIRS data have not been used because of cloudy conditions.",tbd ,
1038,Code Flag Tables for BUFRCREX Table B,22,002023,/,/,/,/,/,no notes
1039,Code Flag Tables for BUFRCREX Table B,23,002024,/,/,/,/,/,no notes
1040,Code Flag Tables for BUFRCREX Table B,24,002025,n/a,n/a,no id,"Bit flags denoting the instrument and/or channels used in obtaining various physical parameters. If, in any grouping of parameters, all bits = 0, then no retrieval was made for that parameter or set of parameters.",table,at top of table
1041,Code Flag Tables for BUFRCREX Table B,25,002025,16,*,*,HIRS* is equivalent to: HIRS channels 1 (669 cm-1)2 (679 cm-1)3 (690 cm-1)4 (2358 cm-1),code,"superscript, formatted "
1042,Code Flag Tables for BUFRCREX Table B,26,002025,21,*,*,HIRS* is equivalent to: HIRS channels 1 (669 cm-1)2 (679 cm-1)3 (690 cm-1)4 (2358 cm-1),code,"superscript, formatted "
1043,Code Flag Tables for BUFRCREX Table B,27,002030,1,*,*,Value deprecated. Code figure 6 should be used instead.,code,
1044,Code Flag Tables for BUFRCREX Table B,28,002031,n/a,n/a,1,Code figures 1-9: Duration and time of current measurement (vector or Doppler current profiling method).,tbd ,
1045,Code Flag Tables for BUFRCREX Table B,29,002031,n/a,n/a,2,Code figures 11-19: Period of current measurement (drift method).,tbd ,
1046,Code Flag Tables for BUFRCREX Table B,30,002031,n/a,n/a,3,H = Time of observation.,tbd ,
1047,Code Flag Tables for BUFRCREX Table B,31,002032,/,/,/,/,/,no notes
1048,Code Flag Tables for BUFRCREX Table B,32,002033,/,/,/,/,/,no notes
1049,Code Flag Tables for BUFRCREX Table B,33,002034,/,/,/,/,/,no notes
1050,Code Flag Tables for BUFRCREX Table B,34,002036,/,/,/,/,/,no notes
1051,Code Flag Tables for BUFRCREX Table B,35,002037,/,/,/,/,/,no notes
1052,Code Flag Tables for BUFRCREX Table B,36,002038,/,/,/,/,/,no notes
1053,Code Flag Tables for BUFRCREX Table B,37,002039,/,/,/,/,/,no notes
1054,Code Flag Tables for BUFRCREX Table B,38,002040,/,/,/,/,/,no notes
1055,Code Flag Tables for BUFRCREX Table B,39,002041,/,/,/,/,/,no notes
1056,Code Flag Tables for BUFRCREX Table B,40,002042,/,/,/,/,/,no notes
1057,Code Flag Tables for BUFRCREX Table B,41,002044,/,/,/,/,/,no notes
1058,Code Flag Tables for BUFRCREX Table B,42,002045,/,/,/,/,/,no notes
1059,Code Flag Tables for BUFRCREX Table B,43,002046,/,/,/,/,/,no notes
1060,Code Flag Tables for BUFRCREX Table B,44,002047,/,/,/,/,/,no notes
1061,Code Flag Tables for BUFRCREX Table B,45,002048,/,/,/,/,/,no notes
1062,Code Flag Tables for BUFRCREX Table B,46,002049,n/a,n/a,1,Clear sounding indicates the sounding has been generated from a set of clear radiances using all available sounder radiances.,tbd ,
1063,Code Flag Tables for BUFRCREX Table B,47,002049,n/a,n/a,2,Cloudy sounding indicates that sufficient clear radiances could not be identified in the sounding area. The sounding is calculated from the cloud top (cloud pressure greater than or equal to 780 hPa) upwards.,tbd ,
1064,Code Flag Tables for BUFRCREX Table B,48,002050,n/a,n/a,no id,"Beginning with the first bit position (high order bit), if the bit position is set to one, then the channel is used. If the bit position is set to zero, then the channel is not used.",tbd ,
1065,Code Flag Tables for BUFRCREX Table B,49,002051,/,/,/,/,/,no notes
1066,Code Flag Tables for BUFRCREX Table B,50,002052,n/a,n/a,no id,"Beginning with the first bit position (high order bit), if the bit position is set to one, then the channel is used. If the bit position is set to zero, then the channel is not used.",tbd ,
1067,Code Flag Tables for BUFRCREX Table B,51,002053,/,/,/,/,/,no notes
1068,Code Flag Tables for BUFRCREX Table B,52,002054,/,/,/,/,/,no notes
1069,Code Flag Tables for BUFRCREX Table B,53,002055,/,/,/,/,/,no notes
1070,Code Flag Tables for BUFRCREX Table B,54,002056,/,/,/,/,/,no notes
1071,Code Flag Tables for BUFRCREX Table B,55,002057,/,/,/,/,/,no notes
1072,Code Flag Tables for BUFRCREX Table B,56,002058,/,/,/,/,/,no notes
1073,Code Flag Tables for BUFRCREX Table B,57,002059,/,/,/,/,/,no notes
1074,Code Flag Tables for BUFRCREX Table B,58,002060,/,/,/,/,/,no notes
1075,Code Flag Tables for BUFRCREX Table B,59,002061,/,/,/,/,/,no notes
1076,Code Flag Tables for BUFRCREX Table B,60,002062,/,/,/,/,/,no notes
1077,Code Flag Tables for BUFRCREX Table B,61,002064,1,n/a,no id,Bad is currently defined as a roll angle > 5 degrees from vertical.,code,
1078,Code Flag Tables for BUFRCREX Table B,62,002066,/,/,/,/,/,no notes
1079,Code Flag Tables for BUFRCREX Table B,63,002070,/,/,/,/,/,no notes
1080,Code Flag Tables for BUFRCREX Table B,64,002080,/,/,/,/,/,no notes
1081,Code Flag Tables for BUFRCREX Table B,65,002081,/,/,/,/,/,no notes
1082,Code Flag Tables for BUFRCREX Table B,66,002083,/,/,/,/,/,no notes
1083,Code Flag Tables for BUFRCREX Table B,67,002084,/,/,/,/,/,no notes
1084,Code Flag Tables for BUFRCREX Table B,68,002092,/,/,/,/,/,no notes
1085,Code Flag Tables for BUFRCREX Table B,69,002095,/,/,/,/,/,no notes
1086,Code Flag Tables for BUFRCREX Table B,70,002096,/,/,/,/,/,no notes
1087,Code Flag Tables for BUFRCREX Table B,71,002097,/,/,/,/,/,no notes
1088,Code Flag Tables for BUFRCREX Table B,72,002099,/,/,/,/,/,no notes
1089,Code Flag Tables for BUFRCREX Table B,73,002101,/,/,/,/,/,no notes
1090,Code Flag Tables for BUFRCREX Table B,74,002103,/,/,/,/,/,no notes
1091,Code Flag Tables for BUFRCREX Table B,75,002104,/,/,/,/,/,no notes
1092,Code Flag Tables for BUFRCREX Table B,76,002115,/,/,/,/,/,no notes
1093,Code Flag Tables for BUFRCREX Table B,77,002119,/,/,/,/,/,no notes
1094,Code Flag Tables for BUFRCREX Table B,78,002131,/,/,/,/,/,no notes
1095,Code Flag Tables for BUFRCREX Table B,79,002137,/,/,/,/,/,no notes
1096,Code Flag Tables for BUFRCREX Table B,80,002138,/,/,/,/,/,no notes
1097,Code Flag Tables for BUFRCREX Table B,81,002139,/,/,/,/,/,no notes
1098,Code Flag Tables for BUFRCREX Table B,82,002143,/,/,/,/,/,no notes
1099,Code Flag Tables for BUFRCREX Table B,83,002144,1,n/a,no id,Entries 1 and 2 should not be used.,code,
1100,Code Flag Tables for BUFRCREX Table B,84,002144,2,n/a,no id,Entries 1 and 2 should not be used.,code,
1101,Code Flag Tables for BUFRCREX Table B,85,002145,/,/,/,/,/,no notes
1102,Code Flag Tables for BUFRCREX Table B,86,002146,/,/,/,/,/,no notes
1103,Code Flag Tables for BUFRCREX Table B,87,002147,6,n/a,*,Global Area Network.,code,
1104,Code Flag Tables for BUFRCREX Table B,88,002147,6,n/a,**,Broadband Global Area Network,code,
1105,Code Flag Tables for BUFRCREX Table B,89,002148,/,/,/,/,/,no notes
1106,Code Flag Tables for BUFRCREX Table B,90,002149,/,/,/,/,/,no notes
1107,Code Flag Tables for BUFRCREX Table B,91,002150,/,/,/,/,/,no notes
1108,Code Flag Tables for BUFRCREX Table B,92,002151,/,/,/,/,/,no notes
1109,Code Flag Tables for BUFRCREX Table B,93,002152,/,/,/,/,/,no notes
1110,Code Flag Tables for BUFRCREX Table B,94,002158,n/a,n/a,no id,PTR = Pulse target response HPA = High power amplifier RFSS = Radio frequency subsystemRED = Redundancy,tbd ,formatted
1111,Code Flag Tables for BUFRCREX Table B,95,002159,/,/,/,/,/,no notes
1112,Code Flag Tables for BUFRCREX Table B,96,002160,/,/,/,/,/,no notes
1113,Code Flag Tables for BUFRCREX Table B,97,002161,/,/,/,/,/,no notes
1114,Code Flag Tables for BUFRCREX Table B,98,002162,1,n/a,*,Infrared window,code,
1115,Code Flag Tables for BUFRCREX Table B,99,002162,2,n/a,**,Water vapour,code,
1116,Code Flag Tables for BUFRCREX Table B,100,002163,/,/,/,/,/,no notes
1117,Code Flag Tables for BUFRCREX Table B,101,002164,/,/,/,/,/,no notes
1118,Code Flag Tables for BUFRCREX Table B,102,002165,/,/,/,/,/,no notes
1119,Code Flag Tables for BUFRCREX Table B,103,002166,/,/,/,/,/,no notes
1120,Code Flag Tables for BUFRCREX Table B,104,002167,/,/,/,/,/,no notes
1121,Code Flag Tables for BUFRCREX Table B,105,002169,/,/,/,/,/,no notes
1122,Code Flag Tables for BUFRCREX Table B,106,002170,/,/,/,/,/,no notes
1123,Code Flag Tables for BUFRCREX Table B,107,002172,/,/,/,/,/,no notes
1124,Code Flag Tables for BUFRCREX Table B,108,002175,/,/,/,/,/,no notes
1125,Code Flag Tables for BUFRCREX Table B,109,002176,/,/,/,/,/,no notes
1126,Code Flag Tables for BUFRCREX Table B,110,002177,/,/,/,/,/,no notes
1127,Code Flag Tables for BUFRCREX Table B,111,002178,/,/,/,/,/,no notes
1128,Code Flag Tables for BUFRCREX Table B,112,002179,/,/,/,/,/,no notes
1129,Code Flag Tables for BUFRCREX Table B,113,002180,/,/,/,/,/,no notes
1130,Code Flag Tables for BUFRCREX Table B,114,002181,/,/,/,/,/,no notes
1131,Code Flag Tables for BUFRCREX Table B,115,002182,/,/,/,/,/,no notes
1132,Code Flag Tables for BUFRCREX Table B,116,002183,/,/,/,/,/,no notes
1133,Code Flag Tables for BUFRCREX Table B,117,002184,/,/,/,/,/,no notes
1134,Code Flag Tables for BUFRCREX Table B,118,002185,/,/,/,/,/,no notes
1135,Code Flag Tables for BUFRCREX Table B,119,002186,/,/,/,/,/,no notes
1136,Code Flag Tables for BUFRCREX Table B,120,002187,/,/,/,/,/,no notes
1137,Code Flag Tables for BUFRCREX Table B,121,002188,/,/,/,/,/,no notes
1138,Code Flag Tables for BUFRCREX Table B,122,002189,/,/,/,/,/,no notes
1139,Code Flag Tables for BUFRCREX Table B,123,002191,/,/,/,/,/,no notes
1140,Code Flag Tables for BUFRCREX Table B,03,003001,/,/,/,/,/,no notes
1141,Code Flag Tables for BUFRCREX Table B,03,003003,/,/,/,/,/,no notes
1142,Code Flag Tables for BUFRCREX Table B,03,003004,/,/,/,/,/,no notes
1143,Code Flag Tables for BUFRCREX Table B,03,003008,/,/,/,/,/,no notes
1144,Code Flag Tables for BUFRCREX Table B,03,003010,1,"*, **",*,Value deprecated. Code figure 6 should be used instead.,code,
1145,Code Flag Tables for BUFRCREX Table B,03,003010,1,"*, **",** ,Acoustic Doppler Current Profiler,code,
1146,Code Flag Tables for BUFRCREX Table B,03,003011,/,/,/,/,/,no notes
1147,Code Flag Tables for BUFRCREX Table B,03,003012,/,/,/,/,/,no notes
1148,Code Flag Tables for BUFRCREX Table B,03,003016,/,/,/,/,/,no notes
1149,Code Flag Tables for BUFRCREX Table B,03,003017,/,/,/,/,/,no notes
1150,Code Flag Tables for BUFRCREX Table B,03,003018,/,/,/,/,/,no notes
1151,Code Flag Tables for BUFRCREX Table B,03,003019,/,/,/,/,/,no notes
1152,Code Flag Tables for BUFRCREX Table B,03,003020,2,*,*,GRP = Glass-reinforced plastic,code,
1153,Code Flag Tables for BUFRCREX Table B,03,003021,/,/,/,/,/,no notes
1154,Code Flag Tables for BUFRCREX Table B,03,003022,/,/,/,/,/,no notes
1155,Code Flag Tables for BUFRCREX Table B,03,003023,/,/,/,/,/,no notes
1156,Code Flag Tables for BUFRCREX Table B,03,003027,/,/,/,/,/,no notes
1157,Code Flag Tables for BUFRCREX Table B,03,003028,/,/,/,/,/,no notes
1158,Code Flag Tables for BUFRCREX Table B,04,004059,/,/,/,/,/,no notes
1159,Code Flag Tables for BUFRCREX Table B,04,004080,/,/,/,/,/,no notes
1160,Code Flag Tables for BUFRCREX Table B,05,005069,/,/,/,/,/,no notes
1161,Code Flag Tables for BUFRCREX Table B,08,008001,/,/,/,/,/,no notes
1162,Code Flag Tables for BUFRCREX Table B,08,008002,/,/,/,/,/,no notes
1163,Code Flag Tables for BUFRCREX Table B,08,008003,/,/,/,/,/,no notes
1164,Code Flag Tables for BUFRCREX Table B,08,008004,/,/,/,/,/,no notes
1165,Code Flag Tables for BUFRCREX Table B,08,008005,/,/,/,/,/,no notes
1166,Code Flag Tables for BUFRCREX Table B,08,008006,/,/,/,/,/,no notes
1167,Code Flag Tables for BUFRCREX Table B,08,008007,n/a,n/a,no id,"A consecutive sequence of 2 or more of location coordinates, such as latitude and longitude pairs,defines a line or polygon. Points shall be joined in the order given in the message. Any area described will fall left of the drawn boundary in the direction established by the order of the points given in the message. This definition is for simple non-intersecting polygons without holes.",tbd ,
1168,Code Flag Tables for BUFRCREX Table B,08,008008,/,/,/,/,/,no notes
1169,Code Flag Tables for BUFRCREX Table B,08,008009,/,/,/,/,/,no notes
1170,Code Flag Tables for BUFRCREX Table B,08,008010,/,/,/,/,/,no notes
1171,Code Flag Tables for BUFRCREX Table B,08,008011,/,/,/,/,/,no notes
1172,Code Flag Tables for BUFRCREX Table B,08,008012,/,/,/,/,/,no notes
1173,Code Flag Tables for BUFRCREX Table B,08,008013,/,/,/,/,/,no notes
1174,Code Flag Tables for BUFRCREX Table B,08,008014,/,/,/,/,/,no notes
1175,Code Flag Tables for BUFRCREX Table B,08,008015,/,/,/,/,/,no notes
1176,Code Flag Tables for BUFRCREX Table B,08,008016,/,/,/,/,/,no notes
1177,Code Flag Tables for BUFRCREX Table B,08,008017,/,/,/,/,/,no notes
1178,Code Flag Tables for BUFRCREX Table B,08,008018,/,/,/,/,/,no notes
1179,Code Flag Tables for BUFRCREX Table B,08,008019,/,/,/,/,/,no notes
1180,Code Flag Tables for BUFRCREX Table B,08,008021,2,n/a,1,"""Time averaged"" indicates that values are continuously averaged over a period of time.",code,
1181,Code Flag Tables for BUFRCREX Table B,08,008021,8,n/a,2,"""Ensemble mean"" indicates that a number of distinct values corresponding to a set of time locations are averaged.",code,
1182,Code Flag Tables for BUFRCREX Table B,08,008021,n/a,n/a,3,Time significance must be qualified by appropriate time periods being specified.,tbd ,
1183,Code Flag Tables for BUFRCREX Table B,08,008023,n/a,n/a,*,All first-order statistics are in the units defined by the original data descriptors.,title,
1184,Code Flag Tables for BUFRCREX Table B,08,008024,n/a,n/a,*,"Difference statistics are difference values; they have dimensions the same as the corresponding reported values with respect to units, but assume a range centred on zero (e.g., the difference between reported and analysed values, the difference between reported and forecast values).",title,
1185,Code Flag Tables for BUFRCREX Table B,08,008024,14,**,**,"Where observed minus forecast values are represented, the period of the forecast shall be indicated by an appropriate descriptor from Class 04.",code,
1186,Code Flag Tables for BUFRCREX Table B,08,008025,/,/,/,/,/,no notes
1187,Code Flag Tables for BUFRCREX Table B,08,008026,/,/,/,/,/,no notes
1188,Code Flag Tables for BUFRCREX Table B,08,008029,/,/,/,/,/,no notes
1189,Code Flag Tables for BUFRCREX Table B,08,008032,/,/,/,/,/,no notes
